1-gram,count
israel,29688
israeli,24894
gaza,22955
palestinian,16625
palestinians,11390
us,9962
people,9720
war,8658
hamas,8149
killed,7501
military,5856
jazeera,5842
west,5536
bank,5119
occupied,4956
international,4586
attacks,4522
forces,4472
children,4354
united,4088
attack,4049
strip,3844
year,3827
state,3785
october,3636
palestine,3601
government,3495
t,3493
according,3480
group,3471
jerusalem,3392
rights,3308
minister,3266
security,3263
day,3242
biden,3230
support,3214
aid,3181
many,3135
hospital,3111
least,3056
city,3042
east,3028
000,2976
last,2922
un,2895
humanitarian,2886
abu,2833
world,2801
time,2778
family,2771
netanyahu,2751
may,2748
7,2736
army,2669
president,2638
could,2630
statement,2616
ceasefire,2553
media,2549
states,2527
called,2471
killing,2433
years,2430
old,2384
even,2351
right,2334
civilians,2292
air,2284
three,2253
first,2228
human,2202
1,2182
new,2176
violence,2176
like,2159
conflict,2136
days,2106
home,2092
law,2066
health,2062
added,2043
political,2042
occupation,1986
says,1978
arab,1964
groups,1949
foreign,1947
week,1914
ministry,1909
prime,1891
nations,1878
armed,1877
israelis,1876
end,1870
officials,1854
jewish,1837
house,1835
news,1831
several,1826
south,1823
police,1812
take,1781
part,1780
iran,1773
camp,1764
still,1750
country,1741
settlers,1734
southern,1727
say,1680
soldiers,1665
court,1661
agency,1653
ground,1643
long,1642
another,1640
well,1630
month,1626
without,1620
back,1619
death,1603
territory,1589
water,1582
far,1581
thousands,1573
homes,1542
friday,1537
egypt,1536
held,1533
across,1515
made,1512
area,1512
lebanon,1510
shot,1500
way,1491
food,1491
peace,1490
enclave,1489
land,1484
members,1484
genocide,1480
reported,1479
rafah,1478
near,1469
around,1465
akleh,1465
countries,1459
jenin,1451
percent,1449
monday,1442
used,1426
washington,1407
authorities,1404
four,1402
continue,1396
situation,1394
must,1385
border,1382
families,1375
raids,1368
american,1366
among,1364
tuesday,1357
middle,1355
past,1352
live,1350
wednesday,1344
saying,1342
bombardment,1340
medical,1340
million,1332
administration,1327
fighting,1312
council,1311
every,1311
refugee,1308
number,1299
stop,1294
journalists,1287
place,1286
fire,1266
red,1262
fighters,1260
thursday,1259
however,1257
others,1256
call,1255
aqsa,1252
community,1251
began,1248
life,1242
came,1242
left,1241
wounded,1241
raid,1232
want,1228
need,1227
women,1223
displaced,1219
launched,1219
go,1217
northern,1213
general,1209
see,1207
region,1204
months,1200
hezbollah,1200
bombing,1198
make,1193
much,1192
come,1191
assault,1188
hundreds,1183
anti,1179
get,1178
response,1167
taken,1166
10,1162
2021,1158
despite,1153
took,1152
following,1150
besieged,1149
national,1143
captives,1142
going,1142
re,1141
public,1137
amid,1135
policy,1135
weeks,1131
based,1123
sunday,1121
injured,1118
hours,1117
11,1112
towards,1111
work,1111
strikes,1109
crimes,1107
residents,1104
sea,1096
recent,1094
2,1087
twitter,1085
prisoners,1080
saturday,1079
mosque,1076
earlier,1076
party,1062
leaders,1057
six,1056
know,1055
release,1053
resolution,1046
social,1045
move,1042
later,1039
calling,1037
power,1036
hospitals,1035
five,1028
unrwa,1025
journalist,1017
inside,1014
report,1012
seen,1012
civilian,1008
released,1007
investigation,1007
campaign,1002
3,1002
targeted,1001
strike,1001
population,995
continued,993
official,989
building,987
case,983
already,980
benjamin,978
defence,978
deal,970
secretary,967
dead,964
justice,963
hit,961
led,960
use,956
lives,951
clear,951
efforts,950
head,945
2023,940
today,937
resistance,936
blinken,935
office,932
university,927
settlements,926
arrested,925
truce,919
shireen,918
illegal,918
authority,915
destroyed,914
spokesperson,913
settler,912
white,911
north,911
director,910
within,908
offensive,906
former,903
pa,902
forced,900
dozens,897
march,897
latest,896
decision,891
immediate,890
due,889
muslim,885
cannot,880
pressure,873
fuel,872
staff,872
20,871
think,870
khan,865
nearly,864
force,864
adding,861
help,860
areas,858
november,858
along,856
fired,854
calls,849
movement,849
pro,847
reporting,847
men,845
islamic,845
protests,844
yet,841
man,840
weapons,838
territories,837
high,836
order,835
2022,830
living,828
africa,827
warned,821
second,820
member,819
put,815
never,814
full,811
leave,809
times,807
el,804
announced,804
return,800
able,800
operation,794
ramallah,790
western,789
jordan,787
trying,787
large,786
leader,784
visit,784
200,784
taking,783
start,781
12,780
found,779
global,779
carried,779
face,778
night,777
whether,777
early,774
action,769
asked,767
workers,764
post,761
escalation,761
compound,760
legal,760
meeting,760
next,755
control,755
accused,753
joe,751
supplies,746
qatar,746
settlement,744
outside,742
away,741
school,741
known,739
safe,738
described,736
open,731
talks,729
operations,729
houthis,728
press,725
citizens,724
com,719
tensions,718
local,716
organisations,713
become,713
set,713
yemen,711
access,710
senior,708
pic,705
organisation,704
prison,704
gmt,703
targeting,702
ongoing,702
lost,702
30,701
working,699
crossing,699
chief,697
department,697
central,696
top,696
allow,696
comes,694
current,691
side,691
protest,691
village,690
crime,690
patients,688
apartheid,688
jews,687
major,685
regional,684
actions,684
remain,684
solution,683
attacked,683
syria,682
started,682
using,680
system,679
nablus,679
young,679
wing,676
often,674
meanwhile,673
siege,672
site,670
ben,669
solidarity,669
allowed,665
father,663
reports,663
refugees,660
future,660
history,660
shifa,659
100,657
ago,656
main,656
decades,655
mother,655
tel,654
russia,654
condemned,653
relations,652
european,650
possible,648
affairs,648
younis,648
continues,647
crisis,645
destruction,640
troops,639
aviv,637
expressed,635
saudi,632
video,630
freedom,628
show,628
close,624
fear,624
protect,623
growing,623
rockets,623
events,622
point,622
majority,622
13,619
body,619
seven,619
december,616
conditions,614
blockade,613
x,608
needs,608
died,606
houthi,606
believe,602
hostages,602
issue,600
prevent,600
provide,600
protesters,599
likely,597
independent,597
diplomatic,596
16,594
half,594
stand,593
ve,593
egyptian,592
rubble,592
mohammed,590
son,589
mahmoud,588
18,587
ukraine,587
january,586
difficult,585
risk,585
late,584
hold,583
bring,582
especially,582
daily,581
fact,581
given,579
position,579
abbas,579
means,578
hope,577
sheikh,576
measures,576
agreement,575
free,575
incident,574
morning,574
icj,574
assistance,573
saw,573
wrote,573
key,573
making,565
17,564
democratic,563
suffering,562
total,562
terrorist,561
14,561
civil,561
missiles,560
vote,560
